"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-01",,"53","56","46"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-02",,"55","59","52"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-03",,"53","58","48"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-04",,"55","63","47"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-05",,"54","59","47"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-06",,"48","54","45"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-07",,"46","52","44"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-08",,"50","53","44"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-09",,"50","53","44"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-10",,"48","52","43"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-11",,"50","56","47"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-12",,"50","53","48"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-13",,"47","53","43"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-14",,"49","61","42"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-15",,"55","62","50"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-16",,"51","55","48"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-17",,"52","56","49"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-18",,"51","58","44"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-19",,"43","48","39"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-20",,"42","49","36"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-21",,"47","51","41"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-22",,"47","51","42"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-23",,"45","50","42"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-24",,"47","54","42"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2018-01-25",,"44","49","42"
